City,DateTime,Temp,MinTemp,MaxTemp,Humidity,WindSpeed,CloudCover,Rainfall,Sunshine,Weather
Bagerhat,2024-09-22 18:00:00,29.6,28.89,29.6,79,0.82,43,0.24,0,light rain
Bagerhat,2024-09-22 21:00:00,28.44,27.68,28.44,84,1.53,73,1.17,0,light rain
Bagerhat,2024-09-23 00:00:00,27.52,27.52,27.52,87,0.76,93,1.2,0,light rain
Bagerhat,2024-09-23 03:00:00,32.04,32.04,32.04,72,2.5,83,0.61,0,light rain
Bagerhat,2024-09-23 06:00:00,33.14,33.14,33.14,64,2.59,89,0.0,0,overcast clouds
Bagerhat,2024-09-23 09:00:00,34.34,34.34,34.34,60,1.07,94,0.0,0,overcast clouds
Bagerhat,2024-09-23 12:00:00,30.64,30.64,30.64,77,2.0,91,0.87,0,light rain
Bagerhat,2024-09-23 15:00:00,27.86,27.86,27.86,90,3.04,74,1.48,0,light rain
Bagerhat,2024-09-23 18:00:00,27.05,27.05,27.05,92,2.57,86,2.95,0,light rain
Bagerhat,2024-09-23 21:00:00,26.87,26.87,26.87,93,2.03,100,0.0,0,overcast clouds
Bagerhat,2024-09-24 00:00:00,26.84,26.84,26.84,92,2.25,100,0.0,0,overcast clouds
Bagerhat,2024-09-24 03:00:00,30.78,30.78,30.78,71,3.7,96,0.0,0,overcast clouds
Bagerhat,2024-09-24 06:00:00,32.69,32.69,32.69,65,5.48,83,1.41,0,light rain
Bagerhat,2024-09-24 09:00:00,31.54,31.54,31.54,72,5.92,89,3.06,0,moderate rain
Bagerhat,2024-09-24 12:00:00,27.94,27.94,27.94,83,4.61,75,0.83,0,light rain
Bagerhat,2024-09-24 15:00:00,27.13,27.13,27.13,88,3.87,98,0.0,0,overcast clouds
Bagerhat,2024-09-24 18:00:00,26.62,26.62,26.62,90,3.04,99,0.0,0,overcast clouds
Bagerhat,2024-09-24 21:00:00,26.08,26.08,26.08,91,3.16,92,0.43,0,light rain
Bagerhat,2024-09-25 00:00:00,25.87,25.87,25.87,93,3.8,90,1.91,0,light rain
Bagerhat,2024-09-25 03:00:00,28.34,28.34,28.34,85,5.61,93,3.38,0,moderate rain
Bagerhat,2024-09-25 06:00:00,29.41,29.41,29.41,81,6.94,96,4.57,0,moderate rain
Bagerhat,2024-09-25 09:00:00,27.81,27.81,27.81,87,5.6,100,2.92,0,light rain
Bagerhat,2024-09-25 12:00:00,26.0,26.0,26.0,93,4.85,100,2.0,0,light rain
Bagerhat,2024-09-25 15:00:00,26.22,26.22,26.22,92,4.08,100,1.19,0,light rain
Bagerhat,2024-09-25 18:00:00,25.67,25.67,25.67,95,3.63,97,1.92,0,light rain
Bagerhat,2024-09-25 21:00:00,25.31,25.31,25.31,97,2.95,100,7.78,0,moderate rain
Bagerhat,2024-09-26 00:00:00,25.32,25.32,25.32,97,3.25,100,8.6,0,moderate rain
Bagerhat,2024-09-26 03:00:00,26.09,26.09,26.09,93,3.51,100,6.4,0,moderate rain
Bagerhat,2024-09-26 06:00:00,26.25,26.25,26.25,91,4.6,100,3.62,0,moderate rain
Bagerhat,2024-09-26 09:00:00,25.85,25.85,25.85,94,5.18,100,4.39,0,moderate rain
Bagerhat,2024-09-26 12:00:00,25.62,25.62,25.62,94,3.62,100,2.62,0,light rain
Bagerhat,2024-09-26 15:00:00,25.5,25.5,25.5,95,2.35,100,0.27,0,light rain
Bagerhat,2024-09-26 18:00:00,25.22,25.22,25.22,96,3.06,100,2.52,0,light rain
Bagerhat,2024-09-26 21:00:00,25.3,25.3,25.3,95,2.74,100,0.63,0,light rain
Bagerhat,2024-09-27 00:00:00,25.12,25.12,25.12,95,2.88,100,0.98,0,light rain
Bagerhat,2024-09-27 03:00:00,26.84,26.84,26.84,89,4.05,100,1.5,0,light rain
Bagerhat,2024-09-27 06:00:00,30.45,30.45,30.45,75,5.43,98,1.91,0,light rain
Bagerhat,2024-09-27 09:00:00,30.05,30.05,30.05,77,5.02,100,2.88,0,light rain
Bagerhat,2024-09-27 12:00:00,26.73,26.73,26.73,89,3.43,98,1.63,0,light rain
Bagerhat,2024-09-27 15:00:00,25.86,25.86,25.86,93,2.47,100,0.0,0,overcast clouds
